Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
genius,C:/Users/pech/Documents/R/win-library/3.6,2.2.0,NA,R (>= 3.1.2),"dplyr (>= 0.7.0), rvest, stringr, tidyr, purrr, readr, tibble,
tidytext, reshape2",NA,"knitr, rmarkdown, testthat",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
geofacet,C:/Users/pech/Documents/R/win-library/3.6,0.1.10,NA,R (>= 3.2),"ggplot2, gtable, graphics, rnaturalearth, sp, ggrepel, imguR,
gridExtra, geogrid",NA,"testthat, covr, lintr, knitr, rmarkdown, packagedocs",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
geogrid,C:/Users/pech/Documents/R/win-library/3.6,0.1.1,NA,NA,"methods, sp, sf, rgeos, Rcpp","Rcpp, RcppArmadillo","testthat, lintr, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
geometry,C:/Users/pech/Documents/R/win-library/3.6,0.4.4,NA,R (>= 3.0.0),"magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, tripack",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
geosphere,C:/Users/pech/Documents/R/win-library/3.6,1.5-10,NA,R (>= 3.0.0),sp,NA,"methods, raster",NA,GPL (>= 3),NA,NA,NA,NA,yes,3.6.1
GGally,C:/Users/pech/Documents/R/win-library/3.6,1.4.0,NA,"R (>= 3.1), ggplot2 (> 2.2.0)","grDevices, grid, gtable (>= 0.2.0), plyr (>= 1.8.3), progress,
RColorBrewer, reshape (>= 0.8.5), utils, rlang",NA,"broom (>= 0.4.0), chemometrics, geosphere (>= 1.5-1), igraph
(>= 1.0.1), intergraph (>= 2.0-2), maps (>= 3.1.0), mapproj,
network (>= 1.12.0), scagnostics, scales (>= 0.4.0), sna (>=
2.3-2), survival, packagedocs (>= 0.4.0), rmarkdown, roxygen2,
testthat, crosstalk",NA,GPL (>= 2.0),NA,NA,NA,NA,no,3.6.1
ggalt,C:/Users/pech/Documents/R/win-library/3.6,0.4.0,NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,AGPL + file LICENSE,NA,NA,NA,NA,no,3.6.1
gganimate,C:/Users/pech/Documents/R/win-library/3.6,1.0.3,NA,ggplot2 (>= 3.0.0),"stringi, tweenr (>= 1.0.1), grid, rlang, glue, progress, plyr,
scales, grDevices, utils",NA,"magick, svglite, knitr, rmarkdown, testthat, base64enc,
htmltools, covr, transformr, av, png, gifski",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ggbeeswarm,C:/Users/pech/Documents/R/win-library/3.6,0.6.0,NA,"R (>= 3.0.0), ggplot2 (>= 2.0)","beeswarm, vipor",NA,gridExtra,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
ggcorrplot,C:/Users/pech/Documents/R/win-library/3.6,0.1.3,NA,ggplot2,"reshape2, stats",NA,"knitr, spelling",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ggdark,C:/Users/pech/Documents/R/win-library/3.6,0.2.1,NA,R (>= 3.1),ggplot2 (>= 3.0),NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ggedit,C:/Users/pech/Documents/R/win-library/3.6,0.3.0,NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","dplyr (>= 0.7.5), plyr, tidyr, purrr, rlang, scales,
rstudioapi, shiny, miniUI, shinyBS, colourpicker (>= 0.2),
shinyAce, magrittr, utils, graphics, grid, tools, stats",NA,"testthat, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ggeffects,C:/Users/pech/Documents/R/win-library/3.6,0.12.0,NA,"R (>= 3.2), graphics, stats, utils","dplyr, insight (>= 0.4.1), magrittr, MASS, purrr, rlang,
scales, sjlabelled (>= 1.1.0), sjmisc (>= 2.8.0)",NA,"AER, aod, betareg, brms, effects (>= 4.1-0), emmeans, gam,
gamm4, gee, geepack, ggplot2, GLMMadaptive, glmmTMB, httr,
knitr, lme4, logistf, Matrix, MCMCglmm, mgcv, nlme, ordinal,
prediction, pscl, quantreg, rmarkdown, rms, robust, robustbase,
rstanarm, rstantools, sandwich, see, sjstats, survey, survival,
testthat, VGAM",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
ggfittext,C:/Users/pech/Documents/R/win-library/3.6,0.8.1,NA,R (>= 3.2.3),"grid (>= 3.1), stringi (>= 1.1.2), ggplot2 (>= 2.2.1), shades
(>= 1.3.1)",NA,"knitr, rmarkdown, testthat, vdiffr, spelling",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ggforce,C:/Users/pech/Documents/R/win-library/3.6,0.3.1,NA,"ggplot2 (>= 3.0.0), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
ggfortify,C:/Users/pech/Documents/R/win-library/3.6,0.4.7,NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",NA,"testthat, cluster, changepoint, dlm, fGarch, forecast,
ggrepel, glmnet, grDevices, KFAS, knitr, lintr, mapdata, MASS,
MSwM, nlme, raster, ROCR, sp, stats, strucchange, survival,
timeSeries, tseries, utils, vars, xts, zoo, lfda",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gghighlight,C:/Users/pech/Documents/R/win-library/3.6,0.1.0,NA,"ggplot2 (>= 3.0.0), R (>= 3.1.0)","dplyr (> 0.7.0), tibble, ggrepel, magrittr, purrr, rlang",NA,"testthat, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ggiraph,C:/Users/pech/Documents/R/win-library/3.6,0.6.1,NA,NA,"grid, ggplot2 (>= 3.0.0), htmlwidgets (>= 0.6), stats, xml2
(>= 1.0.0), htmltools, Rcpp (>= 0.12.12), gdtools (>= 0.1.6),","Rcpp, gdtools","knitr, testthat, rmarkdown, maps, shiny, sf (>= 0.3-4), dplyr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
ggiraphExtra,C:/Users/pech/Documents/R/win-library/3.6,0.2.9,NA,R (>= 2.10),"ggplot2 (>= 2.2.0), ggiraph (>= 0.3.2), scales, reshape2,
plyr, mycor, ppcor, grid, mgcv, sjlabelled, sjmisc, stringr,
webshot, tidyr, purrr, dplyr, magrittr, ggforce, ztable,
RColorBrewer",NA,"TH.data, moonBook, maps, gcookbook, knitr, rmarkdown,
testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
ggmap,C:/Users/pech/Documents/R/win-library/3.6,3.0.0,NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","RgoogleMaps, png, plyr, rjson, jpeg, digest, scales, dplyr,
bitops, grid, glue, httr, stringr, purrr, magrittr, tibble,
tidyr",NA,"MASS, hexbin, testthat",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ggpage,C:/Users/pech/Documents/R/win-library/3.6,0.2.3,NA,R (>= 3.0.0),"dplyr, ggplot2 (>= 2.0.0), magrittr, purrr, rlang, stringr,
tidytext (>= 0.1.0)",NA,"covr, knitr, rmarkdown, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ggplot2,C:/Users/pech/Documents/R/win-library/3.6,3.2.1,NA,R (>= 3.2),"digest, grDevices, grid, gtable (>= 0.1.1), lazyeval, MASS,
mgcv, reshape2, rlang (>= 0.3.0), scales (>= 0.5.0), stats,
tibble, viridisLite, withr (>= 2.0.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, rgeos, rmarkdown, rpart, sf (>= 0.7-3), svglite (>=
1.2.0.9001), testthat (>= 0.11.0), vdiffr (>= 0.3.0)",sp,GPL-2 | file LICENSE,NA,NA,NA,NA,no,3.6.1
ggpmisc,C:/Users/pech/Documents/R/win-library/3.6,0.3.1,NA,"R (>= 3.4.0), ggplot2 (>= 3.1.0)","grid, rlang (>= 0.3.1), magrittr (>= 1.5), gridExtra (>= 2.3),
scales (>= 1.0.0), MASS (>= 7.3-51.1), polynom (>= 1.3-9),
splus2R (>= 1.2-2), tibble (>= 2.0.1), plyr (>= 1.8.4), dplyr
(>= 0.8.0.1), xts (>= 0.11-2), zoo (>= 1.8-4), broom (>=
0.5.1), lubridate (>= 1.7.4), stringr (>= 1.4.0)",NA,"knitr (>= 1.22), rmarkdown (>= 1.12), nlme (>= 3.1-137),
ggrepel (>= 0.8.0), magick (>= 2.0)",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
ggpubr,C:/Users/pech/Documents/R/win-library/3.6,0.2.3,NA,"R (>= 3.1.0), ggplot2, magrittr","ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang",NA,"grDevices, knitr, RColorBrewer, gtable",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ggraph,C:/Users/pech/Documents/R/win-library/3.6,2.0.0,NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0)",Rcpp,"network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
ggrepel,C:/Users/pech/Documents/R/win-library/3.6,0.8.1,NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, scales (>= 0.3.0)",Rcpp,"knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,yes,3.6.1
ggridges,C:/Users/pech/Documents/R/win-library/3.6,0.5.1,NA,R (>= 3.2),"ggplot2 (>= 2.2.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)",NA,"covr, dplyr, gridExtra, ggplot2movies, DAAG, forcats, knitr,
rmarkdown, testthat, vdiffr, viridis",NA,GPL-2 | file LICENSE,NA,NA,NA,NA,no,3.6.1
ggsci,C:/Users/pech/Documents/R/win-library/3.6,2.9,NA,R (>= 3.0.2),"grDevices, scales, ggplot2 (>= 2.0.0)",NA,"knitr, rmarkdown, gridExtra, reshape2",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.6.1
ggsignif,C:/Users/pech/Documents/R/win-library/3.6,0.6.0,NA,NA,ggplot2 (>= 2.0.0),NA,"testthat, knitr, rmarkdown",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
ggstance,C:/Users/pech/Documents/R/win-library/3.6,0.3.3,NA,R (>= 3.1.0),"ggplot2 (>= 3.2.0), plyr, rlang, withr (>= 2.0.0)",NA,"Hmisc, testthat, vdiffr (>= 0.3.0)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
ggthemes,C:/Users/pech/Documents/R/win-library/3.6,4.2.0,NA,R (>= 3.3.0),"ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ggvoronoi,C:/Users/pech/Documents/R/win-library/3.6,0.8.3,NA,"R (>= 2.10), ggplot2 (>= 2.2.0)","deldir, sp, rgeos, raster, methods",NA,"knitr, rmarkdown, ggmap, dplyr, scales, testthat, vdiffr,
mapproj",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
gh,C:/Users/pech/Documents/R/win-library/3.6,1.0.1,NA,NA,"ini, jsonlite, httr",NA,"covr, pingr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
gifski,C:/Users/pech/Documents/R/win-library/3.6,0.8.6,NA,NA,NA,NA,"ggplot2, gapminder",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
git2r,C:/Users/pech/Documents/R/win-library/3.6,0.26.1,NA,R (>= 3.1),"graphics, utils",NA,getPass,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
glmmTMB,C:/Users/pech/Documents/R/win-library/3.6,0.2.3,NA,R (>= 3.2.0),"methods, TMB (>= 1.7.13), lme4 (>= 1.1-18.9000), Matrix, nlme","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car,
emmeans, estimability, DHARMa, multcomp, MuMIn, effects,
dotwhisker, broom, plyr, png, boot",NA,AGPL-3,NA,NA,NA,NA,yes,3.6.1
glmnet,C:/Users/pech/Documents/R/win-library/3.6,3.0-1,NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape",NA,"survival, knitr, lars",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
GlobalOptions,C:/Users/pech/Documents/R/win-library/3.6,0.1.1,NA,"R (>= 3.3.0), methods",utils,NA,"testthat (>= 1.0.0), knitr, markdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
globals,C:/Users/pech/Documents/R/win-library/3.6,0.12.4,NA,R (>= 3.1.2),codetools,NA,NA,NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.6.0
glue,C:/Users/pech/Documents/R/win-library/3.6,1.3.1,NA,R (>= 3.1),methods,NA,"testthat, covr, magrittr, crayon, knitr, rmarkdown, DBI,
RSQLite, R.utils, forcats, microbenchmark, rprintf, stringr,
ggplot2, dplyr, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
gmailr,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,R (>= 3.0.0),"base64enc, crayon, gargle, httr, jsonlite, lifecycle,
magrittr, mime, rematch2",NA,"covr, knitr, methods, sodium, rmarkdown, testthat, xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
gmodels,C:/Users/pech/Documents/R/win-library/3.6,2.18.1,NA,R (>= 1.9.0),"MASS, gdata",NA,"gplots, gtools, Matrix, nlme, lme4 (>= 0.999999-0)",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gmp,C:/Users/pech/Documents/R/win-library/3.6,0.5-13.5,NA,R (>= 3.0.0),methods,NA,Rmpfr,NA,GPL,NA,NA,NA,NA,yes,3.6.1
gofastr,C:/Users/pech/Documents/R/win-library/3.6,0.3.0,NA,R (>= 3.2.2),"data.table (>= 1.9.5), quanteda, slam, SnowballC, stats, tm",NA,testthat,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gower,C:/Users/pech/Documents/R/win-library/3.6,0.2.1,NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
gplots,C:/Users/pech/Documents/R/win-library/3.6,3.0.1.1,NA,R (>= 3.0),"gtools, gdata, stats, caTools, KernSmooth",NA,"grid, MASS",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
graphlayouts,C:/Users/pech/Documents/R/win-library/3.6,0.5.0,NA,R (>= 3.2.0),"igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
gridBase,C:/Users/pech/Documents/R/win-library/3.6,0.4-7,NA,R (>= 2.3.0),"graphics, grid",NA,lattice,NA,GPL,NA,NA,NA,NA,no,3.6.1
gridExtra,C:/Users/pech/Documents/R/win-library/3.6,2.3,NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gstat,C:/Users/pech/Documents/R/win-library/3.6,2.0-3,NA,R (>= 2.10),"utils, stats, graphics, methods, lattice, sp (>= 0.9-72), zoo,
spacetime (>= 1.0-0), FNN",NA,"fields, maps, mapdata, maptools, rgdal (>= 0.5.2), rgeos, sf
(>= 0.7-2), stars (>= 0.3-0), xts, raster",NA,GPL (>= 2.0),NA,NA,NA,NA,yes,3.6.1
gsubfn,C:/Users/pech/Documents/R/win-library/3.6,0.7,NA,proto,NA,NA,"boot, chron, grid, lattice, quantreg, svUnit, tcltk, zoo",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gtable,C:/Users/pech/Documents/R/win-library/3.6,0.3.0,NA,R (>= 3.0),grid,NA,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
gtools,C:/Users/pech/Documents/R/win-library/3.6,3.8.1,NA,"methods, stats, utils",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
gtrendsR,C:/Users/pech/Documents/R/win-library/3.6,1.4.4,NA,R (>= 3.2.0),"ggplot2, jsonlite, anytime, curl",NA,"knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
gutenbergr,C:/Users/pech/Documents/R/win-library/3.6,0.1.5,NA,R (>= 2.10),"dplyr, readr, purrr, urltools, stringr, lazyeval",NA,"knitr, rmarkdown, testthat, tidytext, ggplot2, tidyr, curl",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
h2o,C:/Users/pech/Documents/R/win-library/3.6,3.26.0.2,NA,"R (>= 2.13.0), methods, stats","graphics, tools, utils, RCurl, jsonlite",NA,"ggplot2, mlbench, Matrix, slam, bit64 (>= 0.9.7), data.table
(>= 1.9.8), rgl (>= 0.100.19), plot3Drgl (>= 1.0.1), survival",NA,Apache License (== 2.0),NA,NA,NA,NA,no,3.6.1
harrypotter,C:/Users/pech/Documents/R/win-library/3.6,2.1.0,NA,R (>= 2.10),"ggplot2 (>= 1.0.1), gridExtra",NA,"hexbin (>= 1.27.0), testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
haven,C:/Users/pech/Documents/R/win-library/3.6,2.1.1,NA,R (>= 3.2),"forcats (>= 0.2.0), hms, Rcpp (>= 0.11.4), readr (>= 0.1.0),
tibble",Rcpp,"covr, fs, knitr, rmarkdown, testthat, pillar (>= 1.1.1), cli,
crayon",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
here,C:/Users/pech/Documents/R/win-library/3.6,0.1,NA,NA,rprojroot (>= 1.2),NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
hexbin,C:/Users/pech/Documents/R/win-library/3.6,1.27.3,NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
highr,C:/Users/pech/Documents/R/win-library/3.6,0.8,NA,R (>= 3.2.3),NA,NA,"knitr, testit",NA,GPL,NA,NA,NA,NA,no,3.6.1
Hmisc,C:/Users/pech/Documents/R/win-library/3.6,4.2-0,NA,"lattice, survival (>= 2.40-1), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc",NA,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6), rlang",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
hms,C:/Users/pech/Documents/R/win-library/3.6,0.5.1,NA,NA,"methods, pkgconfig, rlang, vctrs (>= 0.2.0)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
htmlTable,C:/Users/pech/Documents/R/win-library/3.6,1.13.2,NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown,
pander, chron, lubridate, tibble, tidyr (>= 0.7.2), dplyr (>=
0.7.4)",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
htmltools,C:/Users/pech/Documents/R/win-library/3.6,0.4.0,NA,R (>= 2.14.1),"utils, digest, Rcpp, rlang",Rcpp,"markdown, testthat, withr",knitr,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
htmlwidgets,C:/Users/pech/Documents/R/win-library/3.6,1.5.1,NA,NA,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",NA,knitr (>= 1.8),shiny (>= 1.1),MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
hts,C:/Users/pech/Documents/R/win-library/3.6,5.1.5,NA,"R (>= 3.2.0), forecast (>= 8.1)","SparseM, Matrix, matrixcalc, parallel, utils, methods,
graphics, grDevices, stats","Rcpp (>= 0.11.0), RcppEigen","testthat, knitr, rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
httpuv,C:/Users/pech/Documents/R/win-library/3.6,1.5.2,NA,R (>= 2.15.1),"Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl, websocket",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,yes,3.6.1
httr,C:/Users/pech/Documents/R/win-library/3.6,1.4.1,NA,R (>= 3.2),"curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
huge,C:/Users/pech/Documents/R/win-library/3.6,1.3.3,NA,R (>= 3.0.0),"Matrix, igraph, MASS, grDevices, graphics, methods, stats,
utils, Rcpp","Rcpp, RcppEigen",NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
hunspell,C:/Users/pech/Documents/R/win-library/3.6,3.0,NA,R (>= 3.0.2),"Rcpp, digest",Rcpp (>= 0.12.12),"spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",NA,GPL-2 | LGPL-2.1 | MPL-1.1,NA,NA,NA,NA,yes,3.6.1
hypergeo,C:/Users/pech/Documents/R/win-library/3.6,1.2-13,NA,"R (>= 3.1.0),","elliptic (>= 1.3-5), contfrac (>= 1.1-9), deSolve",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
igraph,C:/Users/pech/Documents/R/win-library/3.6,1.2.4.1,NA,methods,"graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",NA,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
imager,C:/Users/pech/Documents/R/win-library/3.6,0.41.2,NA,"R (>= 2.10.0),magrittr","Rcpp (>=
0.11.5),methods,stringr,png,jpeg,readbitmap,grDevices,purrr,Cairo,downloader,igraph,plyr",Rcpp,"knitr, rmarkdown,ggplot2,dplyr,scales,
testthat,OpenMPController,raster,spatstat",NA,LGPL,NA,NA,NA,NA,yes,3.6.1
imguR,C:/Users/pech/Documents/R/win-library/3.6,1.0.3,NA,NA,"httr, png, jpeg, tools",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
import,C:/Users/pech/Documents/R/win-library/3.6,1.1.0,NA,NA,NA,NA,knitr,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
incidence,C:/Users/pech/Documents/R/win-library/3.6,1.7.0,NA,NA,"ggplot2, aweek (>= 0.2.0)",NA,"magrittr, outbreaks, testthat, vdiffr, covr, knitr,
rmarkdown, scales, cowplot",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
infer,C:/Users/pech/Documents/R/win-library/3.6,0.5.0,NA,R (>= 3.1.2),"dplyr (>= 0.7.0), methods, tibble, rlang (>= 0.2.0), ggplot2,
magrittr, glue (>= 1.3.0), grDevices, purrr",NA,"broom, devtools (>= 1.12.0), knitr, rmarkdown, nycflights13,
stringr, testthat, covr, vdiffr",NA,CC0,NA,NA,NA,NA,no,3.6.1
influenceR,C:/Users/pech/Documents/R/win-library/3.6,0.1.0,NA,R (>= 3.2.0),"igraph (>= 1.0.1), Matrix (>= 1.1-4), methods, utils",NA,testthat,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
InformationValue,C:/Users/pech/Documents/R/win-library/3.6,1.2.3,NA,R (>= 3.0.0),"ggplot2, data.table",NA,knitr,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
ini,C:/Users/pech/Documents/R/win-library/3.6,0.3.1,NA,NA,NA,NA,testthat,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
inline,C:/Users/pech/Documents/R/win-library/3.6,0.3.15,NA,R (>= 2.4.0),methods,NA,Rcpp (>= 0.11.0),NA,LGPL,NA,NA,NA,NA,no,3.6.1
insight,C:/Users/pech/Documents/R/win-library/3.6,0.6.0,NA,R (>= 3.2),"methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, betareg, biglm,
blavaan, blme, brms, censReg, crch, coxme, estimatr, feisr,
gam, gamm4, gamlss, gbm, gee, geepack, GLMMadaptive, glmmTMB,
gmnl, HRQoL, httr, lavaan, lfe, logistf, MASS, Matrix,
MCMCglmm, mlogit, multgee, lme4, mgcv, nnet, nlme, ordinal,
panelr, plm, pscl, quantreg, rms, robust, robustbase,
robustlmm, rstanarm, rstudioapi, speedglm, splines, survey,
survival, truncreg, testthat, VGAM, knitr, rmarkdown, spelling",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
intervals,C:/Users/pech/Documents/R/win-library/3.6,0.15.1,NA,R (>= 2.9.0),"utils, graphics, methods",NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.0
inum,C:/Users/pech/Documents/R/win-library/3.6,1.0-1,NA,R (>= 3.3.0),"stats, libcoin (>= 1.0-0)",NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ipred,C:/Users/pech/Documents/R/win-library/3.6,0.9-9,NA,R (>= 2.10),"rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
irlba,C:/Users/pech/Documents/R/win-library/3.6,2.3.3,NA,Matrix,"stats, methods",Matrix,NA,NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
irr,C:/Users/pech/Documents/R/win-library/3.6,0.84.1,NA,"R (>= 2.10), lpSolve",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
ISLR,C:/Users/pech/Documents/R/win-library/3.6,1.2,NA,R (>= 2.10),NA,NA,MASS,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
ISOcodes,C:/Users/pech/Documents/R/win-library/3.6,2019.04.22,NA,R (>= 2.10.0),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
ISOweek,C:/Users/pech/Documents/R/win-library/3.6,0.6-2,NA,NA,stringr,NA,testthat,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
